id,tier,opportunity_name,opportunity_type,target_url,submit_or_contact_url,relevance_to_toy_sellers,login_or_pay_requirements,link_type,evidence_timestamp,recommended_pitch_angle,status,do_not_claim,source_url
TV-01,T1,Outfy Blog - Etsy工具对比文章,comparison_blog,https://www.outfy.com/blog/,cold_outreach,high - Etsy/Shopify卖家视频工具对比博客,编辑审核;免费,dofollow in comparison article,2026-07-28,提供Pikbo作为Etsy卖家专用产品视频工具的对比数据,research_only,no guaranteed inclusion,https://www.outfy.com/blog/5-best-ai-product-video-tools-for-ecommerce-in-2026/
TV-02,T1,Tenacious Toys Art Toy Directory,directory_listing,https://tenacioustoys.com/pages/art-toy-designer-toy-directory,https://tenacioustoys.com/pages/art-toy-designer-toy-directory,high - 设计师玩具制造商名录 明确SUBMIT入口 + backlink目的,需确认是否接受工具类;可能需要owner身份,directory dofollow,2026-07-28,以toy seller media tool身份提交,requires_owner,no partnership with Tenacious Toys,https://tenacioustoys.com/pages/art-toy-designer-toy-directory
TV-03,T1,ToylessTreasures Write for Us,guest_post,https://www.toylesstreasures.com/write-for-us/,email: connect@toylesstreasures.com,medium - 玩具礼品电商博客 接受guest blogger,免费;200-800词;原创;无affiliate links;审核两周,author bio link,2026-07-28,How Toy Sellers Can Use AI Video to Showcase Collectibles on Etsy,ready_to_draft,no guaranteed acceptance,https://www.toylesstreasures.com/write-for-us/
TV-04,T1,KidsWhoPlay Write for Us,guest_post,https://kidswhoplay.com/write-for-us,投稿表单(需先pitch),medium - 玩具/游戏博客 接受toy reviews投稿,免费;1200-2500词;必须unique;关键词月搜索量≥250;审核严格,1 in-body + 1 author bio link,2026-07-28,How to Create Product Videos for Toy Listings Without Professional Equipment,ready_to_draft,no guaranteed acceptance,https://kidswhoplay.com/write-for-us
TV-05,T1,RiiRoo Write for Us,guest_post,https://riiroo.com/pages/write-for-us,email: hello@riiroo.com,low-medium - 儿童玩具零售博客 接受play相关guest post,免费;1000-2500词;双重审核(editor+team);很少首次通过,author bio link,2026-07-28,The Importance of Visual Content for Selling Handmade Toys Online,ready_to_draft,no guaranteed acceptance,https://riiroo.com/pages/write-for-us
TV-06,T1,SunnyToys Write for Us,guest_post,https://sunnytoys.in/pages/write-for-us,email: sales@sunnytoys.in,low-medium - 教育玩具电商 接受toy reviews投稿,免费;800-1200词;需原创;鼓励配图,author bio link,2026-07-28,How Small Toy Makers Can Compete with Big Brands Using Product Videos,ready_to_draft,no guaranteed acceptance,https://sunnytoys.in/pages/write-for-us
TV-07,T1,BuiltByMe独立制作者目录,directory_listing,https://builtbyme.com/,website submission form,medium - 独立制作者目录 DoFollow backlink,可能收费约$19 (DoFollow);需确认当前状态,directory dofollow,2026-07-28,以Pikbo工具身份提交到独立制作者工具分类,requires_owner,re-verify pricing and availability,搜索2026-07-28结果
TV-08,T1,Toylist.org独立玩具数据库,directory_listing,https://toylist.org/,website submission form,medium - 独立玩具制造商数据库,需确认是否接受工具/服务类;,directory link,2026-07-28,以玩具卖家资源/工具身份提交,requires_owner,confirm eligibility for tool category,搜索2026-07-28结果
TV-09,T2,The Toy Chronicle设计师玩具博客,toy_blog_outreach,https://www.thetoychronicle.com/,cold outreach only,high - 全球最知名设计师玩具博客 DA43 82.3K IG,编辑审核严格;需news价值;不接受纯工具推广,editorial mention link,2026-07-28,Behind the Scenes: How Indie Toy Makers Create Listing Videos,cold_outreach_only,no Write for Us page confirmed,https://www.thetoychronicle.com/
TV-10,T2,SpankyStokes设计师玩具新闻,toy_blog_outreach,https://www.spankystokes.com/,cold outreach via spankystokes@gmail.com,high - 每日设计师玩具新闻 DA41 37.4K IG,需news价值;不接受纯工具推广,editorial mention link,2026-07-28,行业趋势: 独立设计师如何用AI视频提高Etsy转化率,cold_outreach_only,no Write for Us page confirmed,https://www.spankystokes.com/
TV-11,T2,Vinyl Pulse艺术玩具新闻,toy_blog_outreach,https://www.vinylpulse.com/,cold outreach only,high - 每日艺术玩具新闻 DA47(本列表最高) 51.6K IG,编辑审核;需独特视角或独家信息,editorial mention link,2026-07-28,How AI Is Changing Small Toy Studio E-commerce Content,cold_outreach_only,no Write for Us page confirmed,https://www.vinylpulse.com/
TV-12,T2,Clutter Magazine 设计师玩具媒体,toy_blog_outreach,https://clutter.co/blog/,community engagement then outreach,high - 2004年起深耕 80.7K FB 67.4K IG 运营Designer Toy Awards,需社区参与;不接受商业推广,editorial/sponsor mention link,2026-07-28,争取DTA或Clutter活动合作,cold_outreach_only,no guaranteed sponsorship,https://clutter.co/blog/
