"kb_id","kb_task","pikbo_status","repo_evidence","next_action","owner_role","target_week","feishu_node"
"C02","明确出海理由与成功口径","review","docs/MOONSHOT_WORLD_CLASS.md; docs/outbound/README.md","把长期愿景转换为 Beta、付费和单位毛利门槛","项目负责人","W1","00 项目总览"
"C08","形成 ICP 与 JTBD 假设","review","docs/prd/WORLD_CLASS_PIKBO.md","用真实设计玩具卖家访谈验证四层 ICP，先选一个第一 ICP","产品负责人","W1-W2","01 市场与 ICP"
"C10","完成 12—16 个真实访谈","todo","无项目级访谈证据","完成访谈并保留原话、反例、现有方案和预算信号","产品负责人","W1-W3","01 市场与 ICP/访谈原文"
"C12","搭建单位经济模型","review","docs/UNIT_ECONOMICS.md","按可接受输出重算模型、存储、转码、退款、支付和支持成本","财务/产品","W2-W6","02 产品与商业模型/单位经济"
"C14","绘制市场与业务模式合规地图","doing","app/privacy; app/terms; docs/prd/GO_NO_GO.md","补目标市场隐私、AI、营销、支付和税务专业复核","合规/法务","W2-W7","03 上线与合规"
"C18","建立隐私、数据与合同清单","doing","docs/prd/AUTH_CREDITS.md; app/privacy; app/terms","明确素材用途、保留、删除、跨境流转和 fal/Supabase/Stripe 责任","合规/技术","W2-W4","03 上线与合规/数据"
"C21","确定预算、现金流底线与停止条件","doing","docs/UNIT_ECONOMICS.md; docs/MOONSHOT_WORLD_CLASS.md","确定 8 周预算、模型支出上限和停止条件","项目负责人/财务","W1","00 项目总览"
"C22","G1 评审：选择第一市场与第一 ICP","blocked","docs/outbound/README.md","等待 12—16 次访谈、单位经济和合规初筛","老板/决策委员会","W3","06 复盘与决策/G1"
"C23","上线周会、看板和资料库机制","done","docs/STATUS.md; docs/HANDOFF.md; docs/growth/AGENT_SYNC.md; docs/outbound/README.md","飞书恢复连接后创建回链并按周运行","项目负责人","W1-W8","04 周计划与 Gate"
"P02","完成 12—16 个产品问题访谈","todo","无项目级访谈证据","与 C10 合并执行，区分使用者、买方和高风险反例","产品负责人","W1-W3","01 市场与 ICP"
"P05","招募设计伙伴","todo","无可审计伙伴名单","招募至少 3 名愿用自有素材连续反馈的目标卖家","产品/销售","W1-W2","01 市场与 ICP/设计伙伴"
"P06","完成关键技术可行性 Spike","review","docs/evidence/G6_LAUNCH_LOG.md; docs/STATUS.md","保留生成证据并关闭 T5 多节点和 T6 文件交付缺口","技术负责人","W1-W3","02 产品与商业模型/技术证据"
"P07","定义 MVP 边界与非目标","done","docs/prd/WORLD_CLASS_PIKBO.md; docs/DISPATCH.md","保持视频优先，不扩空壳模型市场、白标或非视频套件","产品负责人","W1-W8","02 产品与商业模型/MVP"
"P08","P-G2 评审：批准 MVP 与设计伙伴计划","review","docs/prd/GO_NO_GO.md; docs/outbound/README.md","当前产品范围已有结论，补设计伙伴和 Beta 书面批准","老板/决策委员会","W3","06 复盘与决策/G2"
"P10","绘制数据流、架构与供应商地图","review","docs/prd/AUTH_CREDITS.md; docs/api/GENERATE.md; docs/STATUS.md","补生产数据位置、故障恢复和供应商退出方案","技术负责人","W1-W3","02 产品与商业模型/架构"
"P11","审查隐私、AI 数据与跨境传输","doing","app/privacy; app/terms; docs/prd/AUTH_CREDITS.md","核验上传授权、训练用途、删除、保留和供应商条款","合规/技术","W2-W4","03 上线与合规/AI 数据"
"P12","建立权限、日志与安全基线","doing","docs/STATUS.md; .github/workflows/ci.yml","完成 Supabase 权限、密钥轮换、审计日志、备份和响应证据","技术负责人","W1-W3","03 上线与合规/安全"
"P14","设计计费、定价、试用与退款策略","review","docs/business/CREDITS_AND_PLANS.md; docs/UNIT_ECONOMICS.md","做 5 次价格访谈和 Stripe test，不启用 live 收费","产品/财务","W5-W7","02 产品与商业模型/定价"
"P15","完成官网、隐私政策与服务条款","review","app/page.tsx; app/privacy; app/terms","用目标市场专业意见和真实 Beta 证据复核","品牌/法务","W4-W7","03 上线与合规"
"P16","开发核心 MVP 闭环","review","docs/STATUS.md; current product PR","完成 PR 决策并只修 Beta 阻断问题","技术负责人","W1-W3","05 GitHub 开发状态"
"P17","内部测试并收敛阻断缺陷","doing",".github/workflows/ci.yml; scripts/engine-smoke.mjs; docs/STATUS.md","T5/T6 通过后跑 RC 回归并确保阻断缺陷为 0","技术/产品","W2-W3","05 GitHub 开发状态"
"P18","配置埋点、核心指标与反馈回路","doing","lib/analytics.ts; docs/outbound/README.md","验证生产漏斗 upload→generate→export→second SKU 可观察","产品/数据","W2-W4","04 周计划与 Gate/指标"
"P20","向设计伙伴发布 Beta","blocked","docs/outbound/README.md","等待 G1 伙伴、G2 产品交付和数据边界通过","产品负责人","W4","06 复盘与决策/Beta"
"P21","运行设计伙伴试用与周访谈","blocked","docs/outbound/WEEKLY_REVIEW_TEMPLATE.md","Beta 开放后每周记录真实任务、失败、价值和迁移成本","产品/客户成功","W4-W5","01 市场与 ICP/Beta 访谈"
"P22","运行 SEO、内容与社区最小实验","doing","docs/growth/PLAN_30D_GEFEI_CROSSCHECK.md; docs/growth/runs","继续按冷启动白名单运行，并连接到激活而不只看收录","增长负责人","W1-W8","04 周计划与 Gate/增长"
"P23","复盘激活、留存、成本与付费信号","blocked","docs/outbound/README.md","等待至少 10 名有效 Beta 用户和 20 个 Launch Pack","产品负责人","W5-W7","06 复盘与决策/G3-G4"
"P24","P-G3 评审：增长、调整或停止","blocked","docs/outbound/README.md","依据可发布率、导出、第二 SKU、付费和单位毛利决策","老板/决策委员会","W7","06 复盘与决策/G4"
"P25","固化上线 SOP、路线图与规模化门槛","todo","docs/LAUNCH.md; docs/prd/GO_NO_GO.md","在 G5 前补客服、监控、回滚、预算和下一阶段门槛","产品负责人","W7-W8","03 上线与合规/发布"
